,MATCHID,DATE,SEASON,HOME,AWAY,W_HOME,W_AWAY,HOME_FG,AWAY_FG,HOME_FGA,AWAY_FGA,HOME_FG_PCT,AWAY_FG_PCT,HOME_FG3,AWAY_FG3,HOME_FG3A,AWAY_FG3A,HOME_FG3_PCT,AWAY_FG3_PCT,HOME_FT,AWAY_FT,HOME_FTA,AWAY_FTA,HOME_FT_PCT,AWAY_FT_PCT,HOME_OFF_REB,AWAY_OFF_REB,HOME_DEF_REB,AWAY_DEF_REB,HOME_TOT_REB,AWAY_TOT_REB,HOME_AST,AWAY_AST,HOME_STL,AWAY_STL,HOME_TURNOVERS,AWAY_TURNOVERS,HOME_BLK,AWAY_BLK,HOME_PTS,AWAY_PTS
0,0021701214,04/10/2018,2017-18,Hawks,76ers,0,1,41,43,98,87,0.418,0.494,13,17,37,37,0.351,0.459,18,18,26,30,0.692,0.6,8,11,31,43,53,68,27,29,10,7,10,18,3,8,113,121
1,0021701202,04/08/2018,2017-18,Celtics,Hawks,0,1,42,43,82,86,0.512,0.5,9,15,23,35,0.391,0.429,13,11,20,14,0.65,0.786,10,5,31,32,46,47,33,23,9,7,12,13,6,4,106,112
2,0021701184,04/06/2018,2017-18,Wizards,Hawks,0,1,35,38,87,79,0.402,0.481,9,11,25,33,0.36,0.333,18,16,23,23,0.783,0.696,9,7,36,43,49,56,18,24,8,5,12,18,4,5,97,103
3,0021701172,04/04/2018,2017-18,Hawks,Heat,0,1,33,42,90,94,0.367,0.447,9,17,30,38,0.3,0.447,11,14,17,17,0.647,0.824,10,10,38,44,56,62,20,23,5,9,16,12,6,10,86,115
4,0021701158,04/03/2018,2017-18,Heat,Hawks,1,0,41,37,91,88,0.451,0.42,8,13,33,33,0.242,0.394,11,11,13,15,0.846,0.733,11,12,35,37,52,55,22,24,10,10,14,18,8,1,101,98
5,0021701147,04/01/2018,2017-18,Hawks,Magic,1,0,41,33,85,96,0.482,0.344,11,10,36,36,0.306,0.278,1,12,1,13,1.0,0.923,5,11,47,30,58,50,33,19,0,8,16,5,3,6,94,88
6,0021701130,03/30/2018,2017-18,Hawks,76ers,0,1,36,42,101,95,0.356,0.442,9,8,39,38,0.231,0.211,10,9,15,13,0.667,0.692,15,9,44,44,68,59,24,34,9,10,17,15,4,6,91,101
7,0021701120,03/28/2018,2017-18,Timberwolves,Hawks,1,0,48,41,90,77,0.533,0.532,13,13,30,27,0.433,0.481,17,19,21,23,0.81,0.826,7,4,30,33,43,43,33,26,9,10,13,19,1,2,126,114
8,0021701101,03/25/2018,2017-18,Rockets,Hawks,1,0,44,39,90,88,0.489,0.443,20,11,52,40,0.385,0.275,10,10,11,11,0.909,0.909,6,7,39,38,49,48,28,18,7,5,12,13,4,2,118,99
9,0021701087,03/23/2018,2017-18,Warriors,Hawks,1,0,42,37,93,84,0.452,0.44,12,11,30,32,0.4,0.344,10,9,11,20,0.909,0.45,10,5,36,39,49,61,28,24,8,5,7,11,6,5,106,94
10,0021701077,03/22/2018,2017-18,Kings,Hawks,1,0,43,33,93,84,0.462,0.393,10,12,21,36,0.476,0.333,9,12,9,18,1.0,0.667,12,6,39,34,56,51,28,19,8,7,14,14,9,2,105,90
11,0021701062,03/20/2018,2017-18,Jazz,Hawks,0,1,33,38,89,94,0.371,0.404,6,9,34,33,0.176,0.273,22,14,25,19,0.88,0.737,12,11,39,41,58,62,16,21,8,7,16,13,8,3,94,99
